date,state,district,pincode,demo_age_5_17,demo_age_17_,total_population,youth_ratio,pop_change,shock_score,ml_flag,ml_score,severity,reason,confidence,is_severe,persistence,impact_score,recommended_action,state_avg_youth_ratio,peer_deviation,early_warning,data_trust_score
2025-01-03,Uttar Pradesh,Meerut,250002,507,6574,7081,0.07160005648919644,0.0,0.06147628960840723,-1,-0.013494733594758057,SEVERE,Ageing population,-0.038,True,0.14634146341463414,1.816,Immediate audit & field verification,0.1148424654950211,-0.043,False,0.43
2025-01-03,Rajasthan,Baran,325221,206,7884,8090,0.025463535228677378,0.0,0.06147628960840723,-1,-0.011693101103560255,SEVERE,Ageing population,-0.033,True,0.07142857142857142,1.815,Immediate audit & field verification,0.11876048102546506,-0.093,False,0.46
2025-01-03,Gujarat,Surat,395010,690,6222,6912,0.0998263888888889,0.0,0.06147628960840723,-1,-0.012358564498534008,SEVERE,Ageing population,-0.035,True,0.14583333333333334,1.813,Immediate audit & field verification,0.10531248384816365,-0.005,False,0.43
2025-01-03,Bihar,West Champaran,845438,627,5261,5888,0.10648777173913043,0.0,0.06147628960840723,-1,-0.011390025608158272,SEVERE,Multi-factor deviation,-0.032,True,0.225,1.813,Immediate audit & field verification,0.08259998383421771,0.024,False,0.39
2025-01-04,Delhi,North East Delhi,110094,2690,9668,12358,0.21767276258294221,4118.0,29.490458426417682,-1,-0.12304454674051768,SEVERE,Sudden demographic shock; Large population swing,-0.344,True,0.16666666666666666,1.813,Immediate audit & field verification,0.10480626661134639,0.113,False,0.42
2025-01-06,Chhattisgarh,Mahasamund,493558,852,13407,14259,0.059751735745844727,12287.0,87.86961216017072,-1,-0.11793755254179661,SEVERE,Ageing population; Sudden demographic shock; Large population swing,-0.33,True,0.07692307692307693,1.812,Immediate audit & field verification,0.10908089573903966,-0.049,False,0.46
2025-01-03,Uttar Pradesh,Kushinagar,274304,575,6557,7132,0.0806225462703309,0.0,0.06147628960840723,-1,-0.012951253410866781,SEVERE,Ageing population,-0.036,True,0.1282051282051282,1.811,Immediate audit & field verification,0.1148424654950211,-0.034,False,0.44
2025-01-06,Chhattisgarh,Mahasamund,493445,623,12985,13608,0.045781893004115226,12076.0,86.36171628089274,-1,-0.11862728583269821,SEVERE,Ageing population; Sudden demographic shock; Large population swing,-0.332,True,0.09523809523809523,1.809,Immediate audit & field verification,0.10908089573903966,-0.063,False,0.45
2025-01-04,Haryana,Faridabad,121004,1045,5354,6399,0.1633067666822941,0.0,0.06147628960840723,-1,-0.013191123988951392,SEVERE,Multi-factor deviation,-0.037,True,0.17647058823529413,1.809,Immediate audit & field verification,0.11828562350840546,0.045,False,0.41
2025-01-03,Uttar Pradesh,Pilibhit,262122,368,5586,5954,0.06180718844474303,0.0,0.06147628960840723,-1,-0.01235227606676459,SEVERE,Ageing population,-0.035,True,0.20930232558139536,1.808,Immediate audit & field verification,0.1148424654950211,-0.053,False,0.4
2025-01-03,Uttar Pradesh,Pilibhit,262122,368,5586,5954,0.06180718844474303,0.0,0.06147628960840723,-1,-0.01235227606676459,SEVERE,Ageing population,-0.035,True,0.20930232558139536,1.808,Immediate audit & field verification,0.1148424654950211,-0.053,False,0.4
2025-01-03,Delhi,West Delhi,110041,801,5990,6791,0.11795022824326314,0.0,0.06147628960840723,-1,-0.01106548101727245,SEVERE,Multi-factor deviation,-0.031,True,0.13953488372093023,1.808,Immediate audit & field verification,0.10480626661134639,0.013,False,0.43
2025-01-05,Gujarat,Surat,394210,737,6316,7053,0.10449454132993052,0.0,0.06147628960840723,-1,-0.01250630515870077,SEVERE,Multi-factor deviation,-0.035,True,0.12195121951219512,1.807,Immediate audit & field verification,0.10531248384816365,-0.001,False,0.44
2025-01-05,Gujarat,Surat,394210,737,6316,7053,0.10449454132993052,0.0,0.06147628960840723,-1,-0.01250630515870077,SEVERE,Multi-factor deviation,-0.035,True,0.12195121951219512,1.807,Immediate audit & field verification,0.10531248384816365,-0.001,False,0.44
2025-01-04,Delhi,North West Delhi,110086,1938,11133,13071,0.14826715630020657,2416.0,17.327241428639784,-1,-0.11862120178135427,SEVERE,Sudden demographic shock,-0.332,True,0.10869565217391304,1.806,Immediate audit & field verification,0.10480626661134639,0.043,False,0.45
2025-01-04,Haryana,Panipat,132103,952,5630,6582,0.14463688848374354,0.0,0.06147628960840723,-1,-0.01406810941644121,SEVERE,Multi-factor deviation,-0.039,True,0.15555555555555556,1.805,Immediate audit & field verification,0.11828562350840546,0.026,False,0.42
2025-01-03,Uttar Pradesh,Rampur,244901,554,5662,6216,0.08912483912483912,0.0,0.06147628960840723,-1,-0.011809171770708837,SEVERE,Ageing population,-0.033,True,0.17777777777777778,1.805,Immediate audit & field verification,0.1148424654950211,-0.026,False,0.41
2025-01-03,Delhi,South Delhi,110044,572,6178,6750,0.08474074074074074,0.0,0.06147628960840723,-1,-0.012418894164669347,SEVERE,Ageing population,-0.035,True,0.13953488372093023,1.805,Immediate audit & field verification,0.10480626661134639,-0.02,False,0.43
2025-01-04,Haryana,Panipat,132103,952,5630,6582,0.14463688848374354,0.0,0.06147628960840723,-1,-0.01406810941644121,SEVERE,Multi-factor deviation,-0.039,True,0.15555555555555556,1.805,Immediate audit & field verification,0.11828562350840546,0.026,False,0.42
2025-01-05,Uttar Pradesh,Kanpur Nagar,208001,398,5619,6017,0.0661459198936347,0.0,0.06147628960840723,-1,-0.012896291922331993,SEVERE,Ageing population,-0.036,True,0.19444444444444445,1.804,Immediate audit & field verification,0.1148424654950211,-0.049,False,0.4
2025-01-03,Uttar Pradesh,Pilibhit,262001,398,5813,6211,0.06407985831589116,0.0,0.06147628960840723,-1,-0.012336947725994363,SEVERE,Ageing population,-0.035,True,0.175,1.803,Immediate audit & field verification,0.1148424654950211,-0.051,False,0.41
2025-01-03,Uttar Pradesh,Pilibhit,262001,398,5813,6211,0.06407985831589116,0.0,0.06147628960840723,-1,-0.012336947725994363,SEVERE,Ageing population,-0.035,True,0.175,1.803,Immediate audit & field verification,0.1148424654950211,-0.051,False,0.41
2025-01-05,Gujarat,Surat,395010,680,5922,6602,0.10299909118448955,0.0,0.06147628960840723,-1,-0.012544967958009412,SEVERE,Multi-factor deviation,-0.035,True,0.14583333333333334,1.803,Immediate audit & field verification,0.10531248384816365,-0.002,False,0.43
2025-01-07,Delhi,East Delhi,110092,815,5159,5974,0.13642450619350519,0.0,0.06147628960840723,-1,-0.01379260831408835,SEVERE,Multi-factor deviation,-0.039,True,0.19607843137254902,1.802,Immediate audit & field verification,0.10480626661134639,0.032,False,0.4
2025-01-07,Uttar Pradesh,Ghaziabad,201102,747,6572,7319,0.10206312337751058,1503.0,10.802554519726023,-1,-0.11647274457135004,SEVERE,Sudden demographic shock; Large population swing,-0.326,True,0.3783783783783784,1.801,Immediate audit & field verification,0.1148424654950211,-0.013,False,0.31
2025-01-07,Haryana,Panipat,132103,1013,5451,6464,0.15671410891089108,0.0,0.06147628960840723,-1,-0.014124773322599427,SEVERE,Multi-factor deviation,-0.04,True,0.15555555555555556,1.801,Immediate audit & field verification,0.11828562350840546,0.038,False,0.42
2025-01-04,Uttar Pradesh,Firozabad,283203,651,8545,9196,0.07079164854284471,-703.0,-4.962461165995507,-1,-0.13885179077566823,SEVERE,Ageing population,-0.389,True,0.32558139534883723,1.8,Immediate audit & field verification,0.1148424654950211,-0.044,False,0.34
2025-01-03,Jharkhand,Deoghar,815353,205,7256,7461,0.027476209623374884,0.0,0.06147628960840723,-1,-0.009231257175563834,SEVERE,Ageing population,-0.026,True,0.058823529411764705,1.797,Immediate audit & field verification,0.08787247444952806,-0.06,False,0.47
2025-01-03,Bihar,Araria,854318,378,4771,5149,0.07341231307049913,0.0,0.06147628960840723,-1,-0.009197381461038101,SEVERE,Ageing population,-0.026,True,0.24489795918367346,1.797,Immediate audit & field verification,0.08259998383421771,-0.009,False,0.38
2025-01-07,Uttar Pradesh,Rampur,244901,795,9762,10557,0.07530548451264564,1124.0,8.094059077800157,-1,-0.11368842872718876,SEVERE,Ageing population; Sudden demographic shock,-0.318,True,0.17777777777777778,1.797,Immediate audit & field verification,0.1148424654950211,-0.04,False,0.41
2025-01-04,Delhi,North West Delhi,110085,823,4912,5735,0.14350479511769834,0.0,0.06147628960840723,-1,-0.012886319631369436,SEVERE,Multi-factor deviation,-0.036,True,0.1951219512195122,1.795,Immediate audit & field verification,0.10480626661134639,0.039,False,0.4
2025-01-03,Uttar Pradesh,Unnao,209801,407,6823,7230,0.05629322268326418,0.0,0.06147628960840723,-1,-0.012667777418653547,SEVERE,Ageing population,-0.035,True,0.07692307692307693,1.794,Immediate audit & field verification,0.1148424654950211,-0.059,False,0.46
2025-01-03,Punjab,Amritsar,143001,381,5616,5997,0.06353176588294147,0.0,0.06147628960840723,-1,-0.012336947725994363,SEVERE,Ageing population,-0.035,True,0.17073170731707318,1.794,Immediate audit & field verification,0.05613257406568673,0.007,False,0.41
2025-01-07,Delhi,West Delhi,110059,1346,9576,10922,0.12323750228895806,2026.0,14.540135301064355,-1,-0.11668732873576615,SEVERE,Sudden demographic shock,-0.327,True,0.16,1.793,Immediate audit & field verification,0.10480626661134639,0.018,False,0.42
2025-01-05,Uttar Pradesh,Gautam Buddha Nagar,201301,593,5653,6246,0.09494076208773615,0.0,0.06147628960840723,-1,-0.009601468401270075,SEVERE,Ageing population,-0.027,True,0.1388888888888889,1.793,Immediate audit & field verification,0.1148424654950211,-0.02,False,0.43
2025-01-05,Delhi,East Delhi,110092,709,4857,5566,0.1273805246137262,0.0,0.06147628960840723,-1,-0.010996925323887852,SEVERE,Multi-factor deviation,-0.031,True,0.19607843137254902,1.791,Immediate audit & field verification,0.10480626661134639,0.023,False,0.4
2025-01-05,Haryana,Panipat,132103,857,5224,6081,0.1409307679657951,0.0,0.06147628960840723,-1,-0.01242031482305983,SEVERE,Multi-factor deviation,-0.035,True,0.15555555555555556,1.791,Immediate audit & field verification,0.11828562350840546,0.023,False,0.42
2025-01-03,Delhi,East Delhi,110092,546,4980,5526,0.0988056460369164,0.0,0.06147628960840723,-1,-0.011372165553004687,SEVERE,Ageing population,-0.032,True,0.19607843137254902,1.789,Immediate audit & field verification,0.10480626661134639,-0.006,False,0.4
2025-01-06,Chhattisgarh,Kawardha,491559,524,6930,7454,0.07029782667024416,0.0,0.06147628960840723,-1,-0.014802772270193554,SEVERE,Ageing population,-0.041,True,0.05405405405405406,1.789,Immediate audit & field verification,0.10908089573903966,-0.039,False,0.47
2025-01-03,Uttar Pradesh,Gautam Buddha Nagar,201301,650,5502,6152,0.10565669700910273,0.0,0.06147628960840723,-1,-0.011519694601003772,SEVERE,Multi-factor deviation,-0.032,True,0.1388888888888889,1.788,Immediate audit & field verification,0.1148424654950211,-0.009,False,0.43
2025-01-06,Gujarat,Surat,395010,622,5426,6048,0.10284391534391535,0.0,0.06147628960840723,-1,-0.011558302022742217,SEVERE,Multi-factor deviation,-0.032,True,0.14583333333333334,1.787,Immediate audit & field verification,0.10531248384816365,-0.002,False,0.43
2025-01-05,Haryana,Faridabad,121004,844,4843,5687,0.14840865131000527,0.0,0.06147628960840723,-1,-0.012609972233459388,SEVERE,Multi-factor deviation,-0.035,True,0.17647058823529413,1.786,Immediate audit & field verification,0.11828562350840546,0.03,False,0.41
2025-01-05,Uttar Pradesh,Pilibhit,262122,483,4839,5322,0.09075535512965051,0.0,0.06147628960840723,-1,-0.011809171770708837,SEVERE,Ageing population,-0.033,True,0.20930232558139536,1.786,Immediate audit & field verification,0.1148424654950211,-0.024,False,0.4
2025-01-07,Uttar Pradesh,Meerut,250001,522,5382,5904,0.08841463414634146,0.0,0.06147628960840723,-1,-0.011995426525422292,SEVERE,Ageing population,-0.034,True,0.15384615384615385,1.785,Immediate audit & field verification,0.1148424654950211,-0.026,False,0.42
